7230
4 0.36  0.045  0.05 0 0 0 2000
4 0.36  0.06  0.05 0 0 0 2000
4 0.36  0.075  0.05 0 0 0 2000
4 0.375  0  0.05 0 0 0 2000
4 0.375  0.015  0.05 0 0 0 2000
4 0.375  0.03  0.05 0 0 0 2000
4 0.375  0.045  0.05 0 0 0 2000
4 0.375  0.06  0.05 0 0 0 2000
4 0.375  0.075  0.05 0 0 0 2000
4 0.39  0  0.05 0 0 0 2000
4 0.39  0.015  0.05 0 0 0 2000
4 0.39  0.03  0.05 0 0 0 2000
4 0.39  0.045  0.05 0 0 0 2000
4 0.39  0.06  0.05 0 0 0 2000
4 0.39  0.075  0.05 0 0 0 2000
4 0.405  0  0.05 0 0 0 2000
4 0.405  0.015  0.05 0 0 0 2000
4 0.405  0.03  0.05 0 0 0 2000
4 0.405  0.045  0.05 0 0 0 2000
4 0.405  0.06  0.05 0 0 0 2000
4 0.405  0.075  0.05 0 0 0 2000
4 0.42  0  0.05 0 0 0 2000
4 0.42  0.015  0.05 0 0 0 2000
4 0.42  0.03  0.05 0 0 0 2000
4 0.42  0.045  0.05 0 0 0 2000
4 0.42  0.06  0.05 0 0 0 2000
4 0.42  0.075  0.05 0 0 0 2000
4 0.435  0  0.05 0 0 0 2000
4 0.435  0.015  0.05 0 0 0 2000
4 0.435  0.03  0.05 0 0 0 2000
4 0.435  0.045  0.05 0 0 0 2000
4 0.435  0.06  0.05 0 0 0 2000
4 0.435  0.075  0.05 0 0 0 2000
4 0.45  0  0.05 0 0 0 2000
4 0.45  0.015  0.05 0 0 0 2000
4 0.45  0.03  0.05 0 0 0 2000
4 0.45  0.045  0.05 0 0 0 2000
4 0.45  0.06  0.05 0 0 0 2000
4 0.45  0.075  0.05 0 0 0 2000
4 0.465  0  0.05 0 0 0 2000
4 0.465  0.015  0.05 0 0 0 2000
4 0.465  0.03  0.05 0 0 0 2000
4 0.465  0.045  0.05 0 0 0 2000
4 0.465  0.06  0.05 0 0 0 2000
4 0.465  0.075  0.05 0 0 0 2000
4 0.48  0  0.05 0 0 0 2000
4 0.48  0.015  0.05 0 0 0 2000
4 0.48  0.03  0.05 0 0 0 2000
4 0.48  0.045  0.05 0 0 0 2000
4 0.48  0.06  0.05 0 0 0 2000
4 0.48  0.075  0.05 0 0 0 2000
4 0.495  0  0.05 0 0 0 2000
4 0.495  0.015  0.05 0 0 0 2000
4 0.495  0.03  0.05 0 0 0 2000
4 0.495  0.045  0.05 0 0 0 2000
4 0.495  0.06  0.05 0 0 0 2000
4 0.495  0.075  0.05 0 0 0 2000
4 0.51  0  0.05 0 0 0 2000
4 0.51  0.015  0.05 0 0 0 2000
4 0.51  0.03  0.05 0 0 0 2000
4 0.51  0.045  0.05 0 0 0 2000
4 0.51  0.06  0.05 0 0 0 2000
